image_idx,true_label,target_label,pred_label,success,l2_distance,best_c,time_seconds,confidence
0,9,8,8,True,2.51358945010428,0.010703125,22.770437717437744,0.0
1,0,8,8,True,1.2542436092427556,0.010703125,22.09124207496643,0.0
2,4,3,3,True,2.0004535399221255,0.010703125,23.448928594589233,0.0
3,0,4,4,True,2.565612112702912,0.010703125,21.96529245376587,0.0
4,3,7,7,True,4.070402470214862,0.010703125,23.231149911880493,0.0
5,8,5,5,True,2.163934035912321,1.28125,21.671764373779297,0.0
6,8,0,0,True,0.9370503300856291,0.010703125,22.585232496261597,0.0
7,7,9,9,True,3.3280408965037176,0.010703125,23.32539129257202,0.0
8,4,6,6,True,2.1739483274830627,0.010703125,22.146329879760742,0.0
9,7,5,5,True,1.6789560544032078,0.010703125,23.415390253067017,0.0
10,1,8,8,True,0.6067785063382596,0.010703125,21.647143125534058,0.0
11,2,4,4,True,6.21660603893399,0.1140625,22.732933044433594,0.0
12,2,5,5,True,3.731567221085006,0.1140625,22.086311101913452,0.0
13,6,0,0,True,1.5044966690569206,0.010703125,23.071205854415894,0.0
14,2,1,1,True,3.2819989030965195,0.1140625,22.065832376480103,0.0
15,0,1,1,True,5.748031942832287,0.1140625,21.71950101852417,0.0
16,6,9,9,True,4.920750855937136,0.1140625,22.986398696899414,0.0
17,0,4,4,True,5.588815227922235,0.010703125,22.758589029312134,0.0
18,0,3,3,True,4.887330722072536,0.1140625,23.890639543533325,0.0
19,7,3,3,True,2.880389593581991,0.010703125,23.986053228378296,0.0
20,3,6,6,True,4.1116825485592825,0.010703125,21.590550422668457,0.0
21,7,6,6,True,3.6811336583145113,0.1140625,23.788568258285522,0.0
22,8,1,1,True,7.146298881765269,1.28125,21.901557445526123,0.0
23,4,1,1,True,1.3933254125512928,0.010703125,23.067913055419922,0.0
24,3,5,5,True,3.2708521718902075,0.1140625,21.3325617313385,0.0
25,1,2,2,True,0.614674364772876,0.010703125,21.790168046951294,0.0
26,6,0,0,True,3.854063386650234,0.1140625,22.6571261882782,0.0
27,7,9,9,True,3.9031327894269,0.1140625,22.103350162506104,0.0
28,9,1,1,True,3.101305434482263,1.28125,21.300466060638428,0.0
29,2,5,5,True,4.722677655167579,0.1140625,22.409188508987427,0.0
30,0,5,5,True,4.7950288780066765,1.28125,22.014580726623535,0.0
31,7,9,9,True,2.261502639381004,0.010703125,21.4800865650177,0.0
32,6,5,5,True,2.1202402101139355,0.010703125,22.53701376914978,0.0
33,1,5,5,True,2.464227130738495,0.1140625,21.172549962997437,0.0
34,4,5,5,True,1.6050532562119206,0.010703125,22.564412117004395,0.0
35,8,1,,False,inf,1000000.0,22.219313144683838,0.0
36,4,8,8,True,1.194176876177983,0.010703125,20.67110776901245,0.0
37,6,8,8,True,2.0259635799105626,0.010703125,22.14139151573181,0.0
38,5,7,7,True,4.396735124457542,0.010703125,21.643871784210205,0.0
39,5,9,9,True,3.5184362403737945,0.1140625,22.26031470298767,0.0
40,8,6,6,True,3.4373299296529694,0.1140625,20.69385266304016,0.0
41,7,8,8,True,1.9425929412798384,0.010703125,22.683123111724854,0.0
42,2,1,1,True,8.65687575299163,1.28125,20.86229395866394,0.0
43,4,6,6,True,2.083898111719202,0.010703125,21.956260919570923,0.0
44,3,8,8,True,1.1982264684813497,0.010703125,21.466325283050537,0.0
45,1,6,6,True,1.350358371498407,0.010703125,21.278918266296387,0.0
46,7,1,1,True,2.0145472521018037,0.010703125,22.590420484542847,0.0
47,2,5,5,True,3.412077372444012,0.1140625,21.817914962768555,0.0
48,0,4,4,True,4.7188625701209475,0.010703125,21.709285020828247,0.0
49,7,5,5,True,2.4100686031090266,0.010703125,22.326053142547607,0.0
0,2,7,7,True,6.1927991581815585,0.1140625,22.468318939208984,0.0
1,8,2,2,True,2.4587705729816074,0.1140625,21.02414083480835,0.0
2,8,5,5,True,2.3898492688966084,1.28125,22.020765781402588,0.0
3,6,0,0,True,2.705290704079527,0.010703125,22.350341320037842,0.0
4,7,4,4,True,5.129552912275492,0.1140625,21.044536113739014,0.0
5,8,3,,False,inf,1000000.0,22.283639907836914,0.0
6,4,3,3,True,2.7022423157481676,0.1140625,22.048727989196777,0.0
7,9,1,1,True,2.964257786762041,0.010703125,22.48746967315674,0.0
8,0,7,7,True,3.964165750797068,1.28125,21.381399393081665,0.0
9,6,1,1,True,3.5394001309181142,0.1140625,22.465267658233643,0.0
10,2,6,6,True,6.288223570792432,0.1140625,21.254268884658813,0.0
11,4,6,6,True,2.417887992927711,0.010703125,23.189395666122437,0.0
12,6,3,3,True,3.559587861110721,0.1140625,22.12689518928528,0.0
13,7,8,8,True,3.2573326727166,0.1140625,20.92624568939209,0.0
14,2,5,5,True,5.672705555365191,0.1140625,22.491372108459473,0.0
15,0,1,1,True,6.181778854102223,0.1140625,22.02791476249695,0.0
16,8,9,9,True,6.218354025651006,212.5,21.313584089279175,0.0
17,7,0,0,True,1.7158132953532876,0.010703125,21.921807050704956,0.0
18,9,6,6,True,3.0387066238050426,0.1140625,22.628578901290894,0.0
19,3,6,6,True,3.6104751825772667,0.1140625,21.95844578742981,0.0
20,2,0,0,True,3.6741943825772085,0.010703125,21.63246440887451,0.0
21,2,8,8,True,3.226962381111135,0.1140625,23.316252946853638,0.0
22,6,7,,False,inf,1000000.0,21.262097120285034,0.0
23,4,7,7,True,1.7181409276818618,0.1140625,23.790574073791504,0.0
24,1,0,0,True,3.0000661206906134,0.1140625,21.50137710571289,0.0
25,8,6,6,True,1.825720681331305,0.010703125,22.0368914604187,0.0
26,6,0,0,True,2.7666946325459016,0.010703125,22.405407190322876,0.0
27,5,1,1,True,4.868044659863425,0.1140625,22.49820637702942,0.0
28,7,9,9,True,1.5695590209023123,0.010703125,20.387155771255493,0.0
29,6,4,4,True,4.389248778212068,0.1140625,22.057595252990723,0.0
30,4,2,2,True,0.4989712682280465,0.1140625,22.246082544326782,0.0
31,6,0,0,True,3.589636529995825,0.1140625,21.564831256866455,0.0
32,3,4,4,True,4.4593860179655405,0.1140625,22.1459481716156,0.0
33,1,5,5,True,3.024885279474164,0.1140625,22.898905277252197,0.0
34,3,2,2,True,3.326308350106802,0.010703125,21.719088315963745,0.0
35,9,0,0,True,2.5073495598007387,0.010703125,22.048707962036133,0.0
36,1,3,3,True,2.252161153695076,0.1140625,21.54080295562744,0.0
37,3,0,0,True,3.66811824733615,0.010703125,21.486398696899414,0.0
38,1,2,2,True,0.651788600963762,0.010703125,22.381870985031128,0.0
39,1,5,5,True,2.0402149436882806,0.1140625,22.2635338306427,0.0
40,4,7,7,True,2.8348250295747044,0.1140625,20.793792724609375,0.0
41,0,5,5,True,4.050484126789902,0.1140625,22.644360780715942,0.0
42,5,8,8,True,3.2564630068999123,0.010703125,21.600568056106567,0.0
43,9,2,2,True,2.2730383243980135,0.1140625,21.09527611732483,0.0
44,0,3,3,True,3.7133287936810104,0.1140625,21.64405131340027,0.0
45,4,2,2,True,3.4199466933172857,0.1140625,22.295387029647827,0.0
46,9,7,7,True,3.049088989280369,0.1140625,20.82400631904602,0.0
47,5,2,2,True,2.6897113484933866,0.010703125,21.743998527526855,0.0
48,9,4,4,True,1.9198641297823529,0.010703125,22.04766082763672,0.0
49,2,9,9,True,4.654260607220738,0.1140625,22.125261068344116,0.0
0,4,9,9,True,2.57109294509991,0.1140625,22.6029634475708,0.0
1,3,9,9,True,4.559351840885322,0.1140625,22.681593656539917,0.0
2,6,8,8,True,1.9595004587603648,0.010703125,21.00892663002014,0.0
3,7,1,1,True,1.7712752146194823,0.010703125,22.33964443206787,0.0
4,8,5,5,True,1.169060901354217,0.010703125,21.955378770828247,0.0
