image_idx,true_label,target_label,pred_label,success,l2_distance,best_c,time_seconds,confidence
0,9,2,2,True,1.9930550873948218,1.28125,22.739193201065063,0.0
1,0,4,4,True,2.186964568958287,1.28125,22.417524099349976,0.0
2,4,5,5,True,2.53580319653606,1.28125,22.299583673477173,0.0
3,0,1,1,True,1.8851913682849686,1.28125,23.30234432220459,0.0
4,3,4,4,True,2.955923056719937,1.28125,21.08246684074402,0.0
5,8,3,3,True,1.6595693470854553,0.1140625,22.962902307510376,0.0
6,8,4,4,True,2.232052963626554,1.28125,21.182589769363403,0.0
7,7,5,5,True,4.083875555251561,1.28125,22.859211206436157,0.0
8,4,1,1,True,2.5932052224034425,1.28125,21.274956703186035,0.0
9,7,1,1,True,2.774418531103406,1.28125,22.45926833152771,0.0
10,1,3,3,True,2.163631134558727,1.28125,22.001428604125977,0.0
11,2,8,8,True,4.357458424810292,1.28125,21.43159031867981,0.0
12,2,0,0,True,3.114821528041421,1.28125,22.492241144180298,0.0
13,6,0,0,True,1.8912418084430478,1.28125,22.253679275512695,0.0
14,2,6,6,True,3.8808082611757264,15.625,21.948200225830078,0.0
15,0,5,5,True,1.7444809670212273,0.1140625,22.425470113754272,0.0
16,6,3,3,True,2.342430455367335,1.28125,21.167633533477783,0.0
17,0,9,9,True,2.7913609712154313,1.28125,21.996131896972656,0.0
18,0,4,4,True,2.7077150568348234,1.28125,21.360795259475708,0.0
19,7,6,,False,inf,1000000.0,24.438332557678223,0.0
20,3,8,8,True,2.833718685049477,1.28125,22.816063165664673,0.0
21,7,4,4,True,2.7449155100342457,1.28125,23.23257613182068,0.0
22,8,6,6,True,2.9865203655831594,1.28125,23.05078363418579,0.0
23,4,8,8,True,2.3572994981052133,1.28125,22.769471406936646,0.0
24,3,4,4,True,3.0933492381684524,1.28125,23.166338443756104,0.0
25,1,0,0,True,1.4782828345520604,1.28125,22.141737699508667,0.0
26,6,5,5,True,2.021427525997132,1.28125,22.38464045524597,0.0
27,7,4,4,True,2.835004164273872,1.28125,23.027169942855835,0.0
28,9,0,0,True,2.400812718749685,1.28125,21.37490677833557,0.0
29,2,8,8,True,2.9595077404314774,1.28125,22.386358737945557,0.0
30,0,5,5,True,3.104657145074856,1.28125,23.061631441116333,0.0
31,7,4,4,True,2.752755951583702,1.28125,23.02448868751526,0.0
32,6,4,4,True,2.546489663022773,1.28125,21.949885845184326,0.0
33,1,7,7,True,1.4867656529976718,1.28125,24.254476070404053,0.0
34,4,3,3,True,2.714726858572791,1.28125,21.838852882385254,0.0
35,8,9,9,True,1.8406519319542556,0.1140625,22.19912838935852,0.0
36,4,3,3,True,2.1193521279822316,1.28125,22.955891132354736,0.0
37,6,3,3,True,2.3371562521414413,1.28125,22.044133186340332,0.0
38,5,0,0,True,3.7533941802879736,1.28125,21.17820930480957,0.0
39,5,1,1,True,3.340675866049323,1.28125,22.358016967773438,0.0
40,8,3,3,True,1.8076440282608477,1.28125,21.374711275100708,0.0
41,7,5,5,True,3.288386259534383,15.625,22.61584186553955,0.0
42,2,6,6,True,3.6803853857340014,1.28125,21.180938959121704,0.0
43,4,8,8,True,2.07128894739362,1.28125,22.404019832611084,0.0
44,3,9,9,True,2.446953268735928,1.28125,21.185208559036255,0.0
45,1,2,,False,inf,1000000.0,21.684008598327637,0.0
46,7,9,9,True,1.3036426769202631,1.28125,21.43579936027527,0.0
47,2,0,0,True,2.7369166305661703,1.28125,21.984891653060913,0.0
48,0,1,1,True,2.3004230939400716,1.28125,21.188210487365723,0.0
49,7,9,9,True,2.3824973976785513,1.28125,21.858769416809082,0.0
0,2,9,9,True,3.735994634187427,1.28125,21.497137308120728,0.0
1,8,1,1,True,2.004189870889038,1.28125,22.22483229637146,0.0
2,8,9,9,True,2.319837733546325,1.28125,21.18511700630188,0.0
3,6,9,9,True,2.7230586845022575,1.28125,22.20035409927368,0.0
4,7,6,6,True,3.6692861967755603,15.625,21.09768056869507,0.0
5,8,2,2,True,1.824835270802262,1.28125,22.98506760597229,0.0
6,4,5,5,True,2.1035739957880293,1.28125,20.919015407562256,0.0
7,9,3,3,True,2.0711999682482807,1.28125,22.643310070037842,0.0
8,0,7,7,True,1.7987155941236794,1.28125,22.000775575637817,0.0
9,6,5,5,True,1.7327155344932188,1.28125,21.537736415863037,0.0
10,2,3,3,True,1.6872651678509416,0.1140625,22.531508445739746,0.0
11,4,5,5,True,1.930428057820254,1.28125,21.12649965286255,0.0
12,6,5,5,True,1.8354724051433529,1.28125,22.020896196365356,0.0
13,7,0,0,True,4.1595911349595625,1.28125,22.143962860107422,0.0
14,2,4,4,True,3.898519327837676,1.28125,21.56883454322815,0.0
15,0,3,3,True,2.2505030599461864,1.28125,21.44402265548706,0.0
16,8,1,1,True,1.730003552736372,1.28125,21.630593061447144,0.0
17,7,6,6,True,3.506779236044317,15.625,21.639352083206177,0.0
18,9,4,4,True,1.5390659080506366,1.28125,22.017865896224976,0.0
19,3,2,2,True,2.9809182804222703,1.28125,22.488852739334106,0.0
20,2,3,3,True,1.1475774957422835,0.1140625,21.338634252548218,0.0
21,2,1,1,True,2.793884212675151,1.28125,22.082336902618408,0.0
22,6,0,,False,inf,1000000.0,22.09841513633728,0.0
23,4,1,1,True,2.5643951107299254,1.28125,21.552371740341187,0.0
24,1,9,9,True,2.6579738632995245,1.28125,22.709861516952515,0.0
25,8,4,4,True,1.3353237950985326,1.28125,21.122366428375244,0.0
26,6,3,3,True,2.004953330203156,1.28125,22.538208961486816,0.0
27,5,8,8,True,2.2751325338136317,1.28125,21.207524299621582,0.0
28,7,8,8,True,2.1213487784428624,1.28125,22.090521812438965,0.0
29,6,5,5,True,2.3477421648042833,1.28125,21.526894569396973,0.0
30,4,9,9,True,2.965643291195897,1.28125,21.48360800743103,0.0
31,6,4,4,True,2.679530013992422,1.28125,22.2694833278656,0.0
32,3,9,9,True,3.2751522989751076,1.28125,21.33948588371277,0.0
33,1,0,0,True,3.3377806241931567,1.28125,21.130199432373047,0.0
34,3,8,8,True,2.8148477715752827,1.28125,22.404178857803345,0.0
35,9,7,7,True,0.9913684738573504,0.1140625,20.986299753189087,0.0
36,1,8,8,True,2.0413119598347778,1.28125,22.923744678497314,0.0
37,3,7,7,True,2.7613476796657834,1.28125,20.69475293159485,0.0
38,1,8,8,True,2.561748394412143,1.28125,22.24887466430664,0.0
39,1,5,5,True,2.501317440040758,1.28125,20.64915919303894,0.0
40,4,9,9,True,1.5259783561341533,0.1140625,22.164862394332886,0.0
41,0,6,6,True,3.092791938786626,1.28125,20.60843062400818,0.0
42,5,7,7,True,2.7848102199468827,1.28125,22.531657695770264,0.0
43,9,7,7,True,1.131971007245416,0.1140625,21.664366722106934,0.0
44,0,2,2,True,1.64830826528456,1.28125,22.01691460609436,0.0
45,4,5,5,True,2.3998558994583994,1.28125,22.66119647026062,0.0
46,9,2,2,True,2.631822167751548,1.28125,22.10690999031067,0.0
47,5,8,8,True,1.7441581904604353,1.28125,21.7093403339386,0.0
48,9,5,5,True,2.734295042776278,1.28125,22.141716718673706,0.0
49,2,0,0,True,4.256208037002896,15.625,21.429295301437378,0.0
0,4,5,,False,inf,1000000.0,21.98894190788269,0.0
1,3,8,8,True,3.10799726317689,1.28125,21.626447200775146,0.0
2,6,7,7,True,3.007994807279447,15.625,21.55818223953247,0.0
3,7,9,9,True,1.9203305745651558,1.28125,21.041508436203003,0.0
4,8,3,3,True,1.5243205323445421,0.1140625,22.82692861557007,0.0
5,2,8,8,True,2.7952758650194185,1.28125,20.78372859954834,0.0
6,3,2,2,True,0.9699914729834871,0.1140625,23.45023250579834,0.0
7,7,3,3,True,2.396322603991354,1.28125,20.975181102752686,0.0
8,0,5,5,True,2.7692430182129013,1.28125,22.097896814346313,0.0
9,4,3,3,True,2.6172250317971186,1.28125,22.12474775314331,0.0
10,2,4,4,True,4.064105846228134,1.28125,21.724722146987915,0.0
11,7,2,2,True,2.0112388260592025,1.28125,22.80485987663269,0.0
12,7,3,3,True,2.9887028016591928,1.28125,24.005894899368286,0.0
13,4,7,7,True,2.1227585808240557,1.28125,22.8900465965271,0.0
14,1,0,0,True,3.5482343177962212,15.625,23.668806791305542,0.0
15,1,5,,False,inf,1000000.0,22.356319665908813,0.0
16,9,4,4,True,1.3976610894756427,0.1140625,24.837349891662598,0.0
17,9,5,5,True,2.484022007462319,1.28125,24.00088667869568,0.0
18,0,9,9,True,2.7302121981918845,1.28125,24.330317974090576,0.0
19,4,9,9,True,0.7959754578937999,0.1140625,21.77715492248535,0.0
20,0,3,3,True,2.47589843703778,1.28125,22.725964784622192,0.0
