Epoch   1 | Train Loss: 2.0687 | Train Acc: 21.65% | Test Acc: 36.20%
Epoch   2 | Train Loss: 1.5813 | Train Acc: 41.25% | Test Acc: 49.25%
Epoch   3 | Train Loss: 1.3490 | Train Acc: 50.58% | Test Acc: 57.95%
Epoch   4 | Train Loss: 1.1745 | Train Acc: 58.08% | Test Acc: 64.13%
Epoch   5 | Train Loss: 1.0104 | Train Acc: 64.30% | Test Acc: 67.14%
Epoch   6 | Train Loss: 0.8928 | Train Acc: 68.92% | Test Acc: 72.21%
Epoch   7 | Train Loss: 0.8013 | Train Acc: 72.29% | Test Acc: 72.43%
Epoch   8 | Train Loss: 0.7234 | Train Acc: 74.99% | Test Acc: 75.65%
Epoch   9 | Train Loss: 0.6636 | Train Acc: 77.41% | Test Acc: 75.66%
Epoch  10 | Train Loss: 0.5980 | Train Acc: 79.80% | Test Acc: 78.26%
Epoch  11 | Train Loss: 0.5475 | Train Acc: 81.35% | Test Acc: 77.15%
Epoch  12 | Train Loss: 0.4956 | Train Acc: 83.17% | Test Acc: 78.03%
Epoch  13 | Train Loss: 0.4523 | Train Acc: 84.70% | Test Acc: 78.94%
Epoch  14 | Train Loss: 0.4091 | Train Acc: 86.14% | Test Acc: 79.79%
Epoch  15 | Train Loss: 0.3660 | Train Acc: 87.61% | Test Acc: 79.43%
Epoch  16 | Train Loss: 0.3255 | Train Acc: 88.76% | Test Acc: 79.50%
Epoch  17 | Train Loss: 0.2939 | Train Acc: 90.01% | Test Acc: 79.52%
Epoch  18 | Train Loss: 0.2643 | Train Acc: 91.07% | Test Acc: 80.15%
Epoch  19 | Train Loss: 0.2324 | Train Acc: 92.08% | Test Acc: 79.69%
Epoch  20 | Train Loss: 0.2046 | Train Acc: 93.10% | Test Acc: 80.21%
Epoch  21 | Train Loss: 0.1807 | Train Acc: 94.00% | Test Acc: 79.56%
Epoch  22 | Train Loss: 0.1582 | Train Acc: 94.72% | Test Acc: 80.32%
Epoch  23 | Train Loss: 0.1380 | Train Acc: 95.43% | Test Acc: 80.60%
Epoch  24 | Train Loss: 0.1195 | Train Acc: 95.99% | Test Acc: 80.58%
Epoch  25 | Train Loss: 0.1042 | Train Acc: 96.46% | Test Acc: 80.02%
Epoch  26 | Train Loss: 0.0867 | Train Acc: 97.13% | Test Acc: 80.02%
Epoch  27 | Train Loss: 0.0790 | Train Acc: 97.41% | Test Acc: 80.28%
Epoch  28 | Train Loss: 0.0640 | Train Acc: 98.02% | Test Acc: 80.71%
Epoch  29 | Train Loss: 0.0500 | Train Acc: 98.47% | Test Acc: 80.61%
Epoch  30 | Train Loss: 0.0448 | Train Acc: 98.61% | Test Acc: 81.12%
Epoch  31 | Train Loss: 0.0392 | Train Acc: 98.81% | Test Acc: 81.04%
Epoch  32 | Train Loss: 0.0330 | Train Acc: 99.04% | Test Acc: 81.12%
Epoch  33 | Train Loss: 0.0248 | Train Acc: 99.32% | Test Acc: 81.30%
Epoch  34 | Train Loss: 0.0229 | Train Acc: 99.37% | Test Acc: 81.16%
Epoch  35 | Train Loss: 0.0188 | Train Acc: 99.54% | Test Acc: 81.27%
Epoch  36 | Train Loss: 0.0171 | Train Acc: 99.61% | Test Acc: 81.36%
Epoch  37 | Train Loss: 0.0153 | Train Acc: 99.63% | Test Acc: 81.34%
Epoch  38 | Train Loss: 0.0133 | Train Acc: 99.69% | Test Acc: 81.59%
Epoch  39 | Train Loss: 0.0132 | Train Acc: 99.73% | Test Acc: 81.42%
Epoch  40 | Train Loss: 0.0121 | Train Acc: 99.73% | Test Acc: 81.64%
Epoch  41 | Train Loss: 0.0110 | Train Acc: 99.78% | Test Acc: 81.68%
Epoch  42 | Train Loss: 0.0101 | Train Acc: 99.81% | Test Acc: 81.57%
Epoch  43 | Train Loss: 0.0099 | Train Acc: 99.80% | Test Acc: 81.80%
Epoch  44 | Train Loss: 0.0100 | Train Acc: 99.79% | Test Acc: 81.64%
Epoch  45 | Train Loss: 0.0092 | Train Acc: 99.83% | Test Acc: 81.63%
Epoch  46 | Train Loss: 0.0092 | Train Acc: 99.80% | Test Acc: 81.86%
Epoch  47 | Train Loss: 0.0097 | Train Acc: 99.80% | Test Acc: 81.70%
Epoch  48 | Train Loss: 0.0092 | Train Acc: 99.81% | Test Acc: 81.67%
Epoch  49 | Train Loss: 0.0089 | Train Acc: 99.83% | Test Acc: 81.72%
Epoch  50 | Train Loss: 0.0100 | Train Acc: 99.80% | Test Acc: 81.72%
