Epoch   1 | Train Loss: 0.3175 | Train Acc: 90.37% | Test Acc: 97.65%
Epoch   2 | Train Loss: 0.1381 | Train Acc: 95.98% | Test Acc: 98.42%
Epoch   3 | Train Loss: 0.1243 | Train Acc: 96.29% | Test Acc: 98.63%
Epoch   4 | Train Loss: 0.1040 | Train Acc: 96.90% | Test Acc: 98.69%
Epoch   5 | Train Loss: 0.0934 | Train Acc: 97.23% | Test Acc: 98.49%
Epoch   6 | Train Loss: 0.0892 | Train Acc: 97.28% | Test Acc: 98.56%
Epoch   7 | Train Loss: 0.0785 | Train Acc: 97.62% | Test Acc: 98.70%
Epoch   8 | Train Loss: 0.0752 | Train Acc: 97.62% | Test Acc: 98.81%
Epoch   9 | Train Loss: 0.0760 | Train Acc: 97.73% | Test Acc: 98.89%
Epoch  10 | Train Loss: 0.0694 | Train Acc: 97.88% | Test Acc: 98.62%
Epoch  11 | Train Loss: 0.0703 | Train Acc: 97.89% | Test Acc: 99.00%
Epoch  12 | Train Loss: 0.0650 | Train Acc: 97.96% | Test Acc: 98.80%
Epoch  13 | Train Loss: 0.0641 | Train Acc: 98.07% | Test Acc: 99.02%
Epoch  14 | Train Loss: 0.0586 | Train Acc: 98.23% | Test Acc: 99.06%
Epoch  15 | Train Loss: 0.0571 | Train Acc: 98.25% | Test Acc: 98.85%
Epoch  16 | Train Loss: 0.0566 | Train Acc: 98.26% | Test Acc: 98.94%
Epoch  17 | Train Loss: 0.0536 | Train Acc: 98.29% | Test Acc: 99.07%
Epoch  18 | Train Loss: 0.0499 | Train Acc: 98.42% | Test Acc: 99.00%
Epoch  19 | Train Loss: 0.0489 | Train Acc: 98.49% | Test Acc: 99.04%
Epoch  20 | Train Loss: 0.0484 | Train Acc: 98.45% | Test Acc: 99.05%
Epoch  21 | Train Loss: 0.0443 | Train Acc: 98.65% | Test Acc: 99.04%
Epoch  22 | Train Loss: 0.0417 | Train Acc: 98.75% | Test Acc: 99.03%
Epoch  23 | Train Loss: 0.0403 | Train Acc: 98.76% | Test Acc: 99.10%
Epoch  24 | Train Loss: 0.0393 | Train Acc: 98.86% | Test Acc: 99.10%
Epoch  25 | Train Loss: 0.0373 | Train Acc: 98.83% | Test Acc: 99.20%
Epoch  26 | Train Loss: 0.0347 | Train Acc: 98.92% | Test Acc: 99.14%
Epoch  27 | Train Loss: 0.0347 | Train Acc: 98.91% | Test Acc: 99.17%
Epoch  28 | Train Loss: 0.0314 | Train Acc: 99.01% | Test Acc: 99.14%
Epoch  29 | Train Loss: 0.0298 | Train Acc: 99.07% | Test Acc: 99.19%
Epoch  30 | Train Loss: 0.0267 | Train Acc: 99.14% | Test Acc: 99.18%
Epoch  31 | Train Loss: 0.0263 | Train Acc: 99.16% | Test Acc: 99.19%
Epoch  32 | Train Loss: 0.0245 | Train Acc: 99.21% | Test Acc: 99.24%
Epoch  33 | Train Loss: 0.0236 | Train Acc: 99.29% | Test Acc: 99.22%
Epoch  34 | Train Loss: 0.0223 | Train Acc: 99.28% | Test Acc: 99.21%
Epoch  35 | Train Loss: 0.0189 | Train Acc: 99.42% | Test Acc: 99.27%
Epoch  36 | Train Loss: 0.0181 | Train Acc: 99.44% | Test Acc: 99.22%
Epoch  37 | Train Loss: 0.0174 | Train Acc: 99.49% | Test Acc: 99.18%
Epoch  38 | Train Loss: 0.0163 | Train Acc: 99.51% | Test Acc: 99.27%
Epoch  39 | Train Loss: 0.0150 | Train Acc: 99.58% | Test Acc: 99.26%
Epoch  40 | Train Loss: 0.0139 | Train Acc: 99.60% | Test Acc: 99.30%
Epoch  41 | Train Loss: 0.0135 | Train Acc: 99.63% | Test Acc: 99.26%
Epoch  42 | Train Loss: 0.0138 | Train Acc: 99.61% | Test Acc: 99.26%
Epoch  43 | Train Loss: 0.0121 | Train Acc: 99.66% | Test Acc: 99.30%
Epoch  44 | Train Loss: 0.0113 | Train Acc: 99.68% | Test Acc: 99.31%
Epoch  45 | Train Loss: 0.0118 | Train Acc: 99.69% | Test Acc: 99.31%
Epoch  46 | Train Loss: 0.0108 | Train Acc: 99.69% | Test Acc: 99.31%
Epoch  47 | Train Loss: 0.0105 | Train Acc: 99.71% | Test Acc: 99.34%
Epoch  48 | Train Loss: 0.0109 | Train Acc: 99.72% | Test Acc: 99.35%
Epoch  49 | Train Loss: 0.0104 | Train Acc: 99.72% | Test Acc: 99.33%
Epoch  50 | Train Loss: 0.0108 | Train Acc: 99.69% | Test Acc: 99.33%
